time	signal1	signal2	signal3	subtr1	subtr2	subtr3
25.96	1.96488	-0.04852	-0.07981	0.8123799999999999	0.38559	0.26797
25.971	1.94804	-0.04792	-0.09445	0.79369	0.36312	0.2562
25.982	1.93133	-0.0681	-0.08675	0.7726299999999999	0.33792	0.25167
25.993	1.91523	-0.06604	-0.07922	0.7546599999999999	0.35055000000000003	0.25964
26.004	1.90214	-0.07284	-0.07691	0.7370099999999999	0.35674	0.25954999999999995
26.015	1.89041	-0.0775	-0.06991	0.7187999999999999	0.36905	0.26446000000000003
26.026	1.88393	-0.06737	-0.07042	0.7075400000000001	0.38457	0.26325000000000004
26.037	1.87988	-0.06401	-0.07238	0.7001299999999999	0.37515	0.26444
26.048	1.87827	-0.07095	-0.07829	0.69303	0.35795	0.25436000000000003
26.059	1.87535	-0.06377	-0.0916	0.6849500000000002	0.36023	0.23935
26.07	1.8726	-0.05398	-0.09757	0.6776600000000002	0.37419	0.2289
